soc_percent,p_net_w,irradiance_wm2,weather_index,demand_index,centroid,fis_mode
3.0,-120.0,850.0,0.85,0.85,0.3147,M0
3.0,-115.0,850.0,0.85,0.85,0.3147,M0
3.0,-110.0,850.0,0.85,0.85,0.3147,M0
3.0,-105.0,850.0,0.85,0.85,0.3147,M0
3.0,-100.0,850.0,0.85,0.85,0.3147,M0
3.0,-95.0,850.0,0.85,0.85,0.3147,M0
3.0,-90.0,850.0,0.85,0.85,0.3147,M0
3.0,-85.0,850.0,0.85,0.85,0.3147,M0
3.0,-80.0,850.0,0.85,0.85,0.3147,M0
3.0,-75.0,850.0,0.85,0.85,0.3147,M0
3.0,-70.0,850.0,0.85,0.85,0.3147,M0
3.0,-65.0,850.0,0.85,0.85,0.3147,M0
3.0,-60.0,850.0,0.85,0.85,0.3147,M0
3.0,-55.0,850.0,0.85,0.85,0.3147,M0
3.0,-50.0,850.0,0.85,0.85,0.3147,M0
3.0,-45.0,850.0,0.85,0.85,0.3147,M0
3.0,-40.0,850.0,0.85,0.85,0.3147,M0
3.0,-35.0,850.0,0.85,0.85,0.3147,M0
3.0,-30.0,850.0,0.85,0.85,0.3147,M0
3.0,-25.0,850.0,0.85,0.85,0.3147,M0
3.0,-20.0,850.0,0.85,0.85,0.3147,M0
3.0,-15.0,850.0,0.85,0.85,0.3147,M0
3.0,-10.0,850.0,0.85,0.85,0.3147,M0
3.0,-5.0,850.0,0.85,0.85,0.3147,M0
3.0,0.0,850.0,0.85,0.85,0.3147,M0
3.0,5.0,850.0,0.85,0.85,0.3147,M0
3.0,10.0,850.0,0.85,0.85,0.3147,M0
3.0,15.0,850.0,0.85,0.85,0.3147,M0
3.0,20.0,850.0,0.85,0.85,0.3147,M0
3.0,25.0,850.0,0.85,0.85,0.3147,M0
3.0,30.0,850.0,0.85,0.85,0.3147,M0
3.0,35.0,850.0,0.85,0.85,0.3147,M0
3.0,40.0,850.0,0.85,0.85,0.3147,M0
3.0,45.0,850.0,0.85,0.85,0.3147,M0
3.0,50.0,850.0,0.85,0.85,0.3147,M0
3.0,55.0,850.0,0.85,0.85,0.3147,M0
3.0,60.0,850.0,0.85,0.85,0.3147,M0
3.0,65.0,850.0,0.85,0.85,0.3147,M0
3.0,70.0,850.0,0.85,0.85,0.3147,M0
3.0,75.0,850.0,0.85,0.85,0.3147,M0
3.0,80.0,850.0,0.85,0.85,0.3147,M0
3.0,85.0,850.0,0.85,0.85,0.3147,M0
